product_id,coded_cat1,coded_cat2,coded_cat3,coded_brand,coded_name
143226,2259,1412,1412,522,2719
106100,2880,2856,1169,309,1937
149306,2880,2856,4877,455,3618
160649,624,2291,601,543,2194
124455,1676,2193,2409,289,3120
154557,1676,2193,2401,522,2850
154553,1676,2193,2409,522,2949
112582,2880,498,1590,253,2462
164725,2880,498,1590,398,3009
107645,2259,1714,720,522,1782
112376,2259,1714,2353,522,2575
121807,2259,1714,2633,522,2714
132842,2259,1714,746,522,2052
133888,2259,1714,724,367,1788
122363,2259,1714,805,522,1879
126707,2259,1714,2431,442,2621
112377,2259,1714,2353,522,3147
125506,2259,1714,2353,522,2840
143220,2259,1714,900,522,2203
139935,2259,1714,720,345,2164
157316,2259,1714,805,522,2022
157318,2259,1714,647,522,1825
161147,2259,1714,2431,442,2623
157317,2259,1714,724,522,2142
110675,2180,613,2275,544,2531
136250,2180,613,615,253,1352
163385,2180,613,2175,537,2955
110853,2259,2015,493,522,1709
145377,1375,2519,2668,685,2489
157913,1375,2519,2668,455,3692
156095,1163,1267,1176,547,2933
128194,1676,2005,2467,289,2994
132284,1676,2005,2467,522,2741
156866,1676,2005,2467,367,3108
156474,1676,2005,2467,367,2949
156485,1676,2005,2938,367,3123
128772,1676,2832,1011,522,2045
134358,1676,2832,1282,367,2671
149301,885,1069,548,237,1319
162101,885,1069,490,237,1230
162102,885,1069,490,237,1236
103851,2259,944,1867,367,2979
110908,2259,944,1763,253,2421
112437,2259,944,1763,542,3142
131910,2259,944,1753,542,3352
142254,2259,944,1763,253,2524
132408,2259,944,1753,367,2720
134200,2259,944,1867,367,3039
177925,2259,944,1753,522,3247
124329,2180,834,3016,453,2502
